post_id,post_type,likes,comments,shares,date_posted,hashtags
1,Reel,637,57,29,2024-12-01,"#adventure, #cityscape"
2,Carousel,228,14,16,2024-12-02,"#funny, #fashion"
3,Reel,51,95,10,2024-12-03,"#reading, #pets"
4,Reel,517,76,47,2024-12-04,"#cityscape, #cute"
5,Static Image,662,81,11,2024-12-05,"#motivation, #cute"
6,Carousel,236,58,41,2024-12-06,"#fitness, #workout"
7,Reel,468,65,32,2024-12-07,"#challenge, #landscape"
8,Static Image,478,31,30,2024-12-08,"#trend, #design"
9,Static Image,389,30,3,2024-12-09,"#cityscape, #challenge"
10,Reel,174,88,49,2024-12-10,"#landscape, #dance"
11,Carousel,492,16,7,2024-12-11,"#sunset, #adventure"
12,Reel,483,69,43,2024-12-12,"#travel, #trend"
13,Carousel,366,68,28,2024-12-13,"#books, #photography"
14,Carousel,485,81,31,2024-12-14,"#fashion, #progress"
15,Reel,293,97,48,2024-12-15,"#randomthoughts, #quotes"
16,Reel,377,80,12,2024-12-16,"#goals, #progress"
17,Reel,451,17,18,2024-12-17,"#randomthoughts, #weekend"
18,Reel,169,46,25,2024-12-18,"#selfcare, #adventure"
19,Static Image,652,13,3,2024-12-19,"#foodie, #challenge"
20,Static Image,589,34,12,2024-12-20,"#goals, #memes"
21,Reel,352,82,43,2024-12-21,"#randomthoughts, #music"
22,Reel,259,40,5,2024-12-22,"#photography, #funny"
23,Reel,69,44,2,2024-12-23,"#sunset, #architecture"
24,Carousel,251,74,35,2024-12-24,"#wildlife, #music"
25,Reel,309,48,22,2024-12-25,"#architecture, #relax"
26,Carousel,594,97,13,2024-12-26,"#viral, #flowers"
27,Reel,490,29,50,2024-12-27,"#bloom, #architecture"
28,Carousel,530,59,32,2024-12-28,"#nature, #reading"
29,Reel,270,33,6,2024-12-29,"#trend, #photography"
30,Reel,450,57,46,2024-12-30,"#cute, #reading"
31,Carousel,695,52,12,2024-12-31,"#style, #flowers"
32,Carousel,532,60,34,2024-12-01,"#reading, #viral"
33,Reel,520,10,34,2024-12-02,"#selfcare, #adventure"
34,Carousel,561,84,45,2024-12-03,"#funny, #beach"
35,Carousel,532,18,20,2024-12-04,"#recipe, #beach"
36,Reel,638,6,8,2024-12-05,"#randomthoughts, #books"
37,Reel,538,29,48,2024-12-06,"#funny, #style"
38,Static Image,213,96,27,2024-12-07,"#travel, #dance"
39,Reel,594,9,3,2024-12-08,"#funnyfails, #memes"
40,Carousel,331,41,36,2024-12-09,"#weekend, #sunset"
41,Carousel,482,26,6,2024-12-10,"#fashion, #memes"
42,Reel,283,72,17,2024-12-11,"#progress, #views"
43,Static Image,515,90,48,2024-12-12,"#catvideo, #funnyfails"
44,Static Image,495,23,1,2024-12-13,"#adventure, #funnyfails"
45,Carousel,611,74,5,2024-12-14,"#trend, #dance"
46,Static Image,580,73,37,2024-12-15,"#landscape, #art"
47,Static Image,335,44,14,2024-12-16,"#progress, #trend"
48,Reel,73,84,21,2024-12-17,"#workout, #wildlife"
49,Reel,389,98,47,2024-12-18,"#pets, #goals"
50,Static Image,566,59,30,2024-12-19,"#nature, #challenge"
51,Reel,544,77,12,2024-12-20,"#wellness, #architecture"
52,Carousel,306,99,41,2024-12-21,"#selfcare, #aesthetic"
53,Reel,671,98,19,2024-12-22,"#fitness, #fashion"
54,Reel,223,95,25,2024-12-23,"#progress, #cute"
55,Static Image,697,58,26,2024-12-24,"#art, #flowers"
56,Carousel,103,27,16,2024-12-25,"#adventure, #weekend"
57,Static Image,293,47,48,2024-12-26,"#fitness, #photography"
58,Static Image,529,79,26,2024-12-27,"#books, #aesthetic"
59,Static Image,410,55,45,2024-12-28,"#cityscape, #trend"
60,Static Image,357,81,7,2024-12-29,"#photography, #fitness"
61,Reel,410,100,13,2024-12-30,"#quotes, #travel"
62,Reel,683,58,39,2024-12-31,"#fitness, #books"
63,Static Image,225,67,36,2024-12-01,"#progress, #sunset"
64,Static Image,452,31,41,2024-12-02,"#night, #art"
65,Reel,156,91,41,2024-12-03,"#catvideo, #views"
66,Carousel,488,8,24,2024-12-04,"#night, #funny"
67,Static Image,442,12,16,2024-12-05,"#cityscape, #comedy"
68,Static Image,243,54,8,2024-12-06,"#funnyfails, #fitness"
69,Reel,299,97,20,2024-12-07,"#catvideo, #reading"
70,Static Image,571,59,26,2024-12-08,"#motivation, #weekend"
71,Static Image,106,83,40,2024-12-09,"#catvideo, #relax"
72,Static Image,493,22,41,2024-12-10,"#beach, #landscape"
73,Static Image,414,40,30,2024-12-11,"#flowers, #funny"
74,Reel,511,13,3,2024-12-12,"#fitness, #photography"
75,Carousel,634,99,43,2024-12-13,"#quotes, #travel"
76,Static Image,509,38,34,2024-12-14,"#landscape, #wildlife"
77,Reel,614,34,18,2024-12-15,"#design, #comedy"
78,Static Image,118,53,12,2024-12-16,"#recipe, #minimalism"
79,Reel,583,22,44,2024-12-17,"#relax, #weekend"
80,Static Image,175,88,23,2024-12-18,"#wellness, #memes"
81,Reel,495,95,13,2024-12-19,"#sunset, #trend"
82,Reel,681,38,5,2024-12-20,"#dance, #funny"
83,Reel,495,42,37,2024-12-21,"#sunset, #cityscape"
84,Reel,505,29,17,2024-12-22,"#memes, #views"
85,Carousel,111,67,11,2024-12-23,"#books, #aesthetic"
86,Carousel,682,98,39,2024-12-24,"#quotes, #comedy"
87,Static Image,94,63,19,2024-12-25,"#landscape, #bloom"
88,Reel,182,87,38,2024-12-26,"#quotes, #challenge"
89,Reel,181,62,16,2024-12-27,"#catvideo, #architecture"
90,Static Image,107,94,30,2024-12-28,"#comedy, #reading"
91,Reel,310,86,46,2024-12-29,"#pets, #goals"
92,Carousel,179,42,18,2024-12-30,"#workout, #art"
93,Carousel,183,49,27,2024-12-31,"#travel, #randomthoughts"
94,Reel,411,94,23,2024-12-01,"#pets, #randomthoughts"
95,Carousel,253,92,28,2024-12-02,"#motivation, #quotes"
96,Reel,644,16,5,2024-12-03,"#weekend, #cute"
97,Static Image,92,12,44,2024-12-04,"#style, #funny"
98,Carousel,519,27,46,2024-12-05,"#weekend, #foodie"
99,Carousel,237,46,24,2024-12-06,"#travel, #adventure"
100,Reel,171,22,50,2024-12-07,"#trend, #workout"
101,Carousel,504,16,16,2024-12-08,"#music, #views"
102,Carousel,310,82,11,2024-12-09,"#selfcare, #flowers"
103,Static Image,522,38,2,2024-12-10,"#pets, #viral"
104,Static Image,338,22,7,2024-12-11,"#memes, #aesthetic"
105,Static Image,298,99,13,2024-12-12,"#memes, #architecture"
106,Reel,71,37,23,2024-12-13,"#memes, #bloom"
107,Static Image,458,66,1,2024-12-14,"#flowers, #nature"
108,Static Image,474,8,11,2024-12-15,"#beach, #foodie"
109,Static Image,421,93,16,2024-12-16,"#photography, #wellness"
110,Reel,233,39,6,2024-12-17,"#trend, #sunset"
111,Carousel,696,24,21,2024-12-18,"#minimalism, #cityscape"
112,Static Image,192,60,14,2024-12-19,"#pets, #beach"
113,Reel,223,8,27,2024-12-20,"#style, #workout"
114,Carousel,344,46,44,2024-12-21,"#relax, #wellness"
115,Static Image,615,30,49,2024-12-22,"#art, #adventure"
116,Reel,449,6,16,2024-12-23,"#wellness, #challenge"
117,Carousel,514,46,44,2024-12-24,"#flowers, #wildlife"
118,Reel,163,52,11,2024-12-25,"#architecture, #design"
119,Static Image,451,58,43,2024-12-26,"#adventure, #aesthetic"
120,Static Image,516,25,38,2024-12-27,"#photography, #architecture"
121,Static Image,317,85,13,2024-12-28,"#randomthoughts, #pets"
122,Carousel,460,32,37,2024-12-29,"#architecture, #pets"
123,Reel,191,72,30,2024-12-30,"#books, #fashion"
124,Carousel,427,44,7,2024-12-31,"#photography, #cityscape"
125,Reel,683,42,10,2024-12-01,"#books, #beach"
126,Carousel,310,83,3,2024-12-02,"#funny, #memes"
127,Reel,205,30,46,2024-12-03,"#minimalism, #weekend"
128,Static Image,472,70,50,2024-12-04,"#art, #progress"
129,Static Image,362,76,32,2024-12-05,"#wellness, #beach"
130,Static Image,141,26,43,2024-12-06,"#music, #workout"
131,Carousel,417,47,26,2024-12-07,"#design, #nature"
132,Static Image,477,65,23,2024-12-08,"#cityscape, #aesthetic"
133,Static Image,134,80,25,2024-12-09,"#night, #fashion"
134,Reel,316,74,47,2024-12-10,"#landscape, #design"
135,Carousel,352,64,27,2024-12-11,"#sunset, #wildlife"
136,Carousel,161,36,35,2024-12-12,"#dance, #style"
137,Static Image,549,86,8,2024-12-13,"#catvideo, #style"
138,Reel,234,19,37,2024-12-14,"#aesthetic, #foodie"
139,Reel,428,77,27,2024-12-15,"#sunset, #wildlife"
140,Carousel,133,28,50,2024-12-16,"#catvideo, #cityscape"
141,Static Image,464,10,42,2024-12-17,"#nature, #night"
142,Static Image,315,64,11,2024-12-18,"#wellness, #architecture"
143,Reel,630,6,30,2024-12-19,"#motivation, #trend"
144,Static Image,544,89,12,2024-12-20,"#motivation, #catvideo"
145,Carousel,273,63,27,2024-12-21,"#dance, #workout"
146,Static Image,618,79,10,2024-12-22,"#views, #art"
147,Carousel,537,74,27,2024-12-23,"#books, #trend"
148,Static Image,615,54,17,2024-12-24,"#randomthoughts, #books"
149,Reel,79,28,16,2024-12-25,"#dance, #selfcare"
150,Carousel,169,8,25,2024-12-26,"#photography, #dance"
151,Reel,560,52,10,2024-12-27,"#adventure, #trend"
152,Reel,427,6,28,2024-12-28,"#architecture, #wildlife"
153,Static Image,164,61,17,2024-12-29,"#books, #style"
154,Carousel,409,63,10,2024-12-30,"#progress, #sunset"
155,Reel,182,68,13,2024-12-31,"#adventure, #books"
156,Carousel,523,44,43,2024-12-01,"#beach, #wellness"
157,Carousel,469,77,27,2024-12-02,"#adventure, #challenge"
158,Static Image,544,6,16,2024-12-03,"#motivation, #aesthetic"
159,Reel,512,38,6,2024-12-04,"#goals, #adventure"
160,Carousel,454,21,12,2024-12-05,"#nature, #trend"
161,Carousel,690,95,34,2024-12-06,"#recipe, #flowers"
162,Reel,413,62,33,2024-12-07,"#views, #memes"
163,Reel,682,22,48,2024-12-08,"#memes, #books"
164,Static Image,405,95,26,2024-12-09,"#workout, #pets"
165,Reel,326,23,17,2024-12-10,"#views, #sunset"
166,Reel,163,93,15,2024-12-11,"#flowers, #travel"
167,Static Image,347,66,15,2024-12-12,"#funnyfails, #adventure"
168,Carousel,304,100,20,2024-12-13,"#art, #foodie"
169,Carousel,330,21,9,2024-12-14,"#challenge, #recipe"
170,Reel,172,94,2,2024-12-15,"#aesthetic, #flowers"
